Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , ,Wexford,202
 , , ,Wicklow,265
 , , ,Clare,224
 , , ,Cork City,169
 , , ,Cork County,764
 , , ,Kerry,276
 , , ,Limerick City and County,327
 , , ,Tipperary,252
 , , ,Waterford City and County,175
 , , ,Galway City,121
 , , ,Galway County,289
 , , ,Leitrim,66
 , , ,Mayo,215
 , , ,Roscommon,109
 , , ,Sligo,109
 , , ,Cavan,128
 , , ,Donegal,227
 , , ,Monaghan,86
 , ,22 years,,
 , , ,State,4913
 , , ,Carlow,59
 , , ,Dublin City,499
 , , ,Dún Laoghaire-Rathdown,236
 , , ,Fingal,361
 , , ,South Dublin,247
 , , ,Kildare,227
 , , ,Kilkenny,94
 , , ,Laois,75
 , , ,Longford,32
 , , ,Louth,110
 , , ,Meath,210
 , , ,Offaly,69
 , , ,Westmeath,80
 , , ,Wexford,152
 , , ,Wicklow,180
 , , ,Clare,139
 , , ,Cork City,126
 , , ,Cork County,562
 , , ,Kerry,147
 , , ,Limerick City and County,193
 , , ,Tipperary,159
 , , ,Waterford City and County,82
 , , ,Galway City,99
 , , ,Galway County,195
 , , ,Leitrim,36
 , , ,Mayo,150
 , , ,Roscommon,72
 , , ,Sligo,74
 , , ,Cavan,71
 , , ,Donegal,126
 , , ,Monaghan,51
 , ,23 years,,
 , , ,State,2568
 , , ,Carlow,32
 , , ,Dublin City,302
 , , ,Dún Laoghaire-Rathdown,121
 , , ,Fingal,190
 , , ,South Dublin,130
 , , ,Kildare,125
 , , ,Kilkenny,57
 , , ,Laois,36
 , , ,Longford,20
 , , ,Louth,58
 , , ,Meath,111
 , , ,Offaly,24
 , , ,Westmeath,51
 , , ,Wexford,84
 , , ,Wicklow,82
 , , ,Clare,55
 , , ,Cork City,88
 , , ,Cork County,264
 , , ,Kerry,102
 , , ,Limerick City and County,111
 , , ,Tipperary,69
 , , ,Waterford City and County,51
 , , ,Galway City,57
 , , ,Galway County,86
 , , ,Leitrim,9
 , , ,Mayo,69
 , , ,Roscommon,30
 , , ,Sligo,36
 , , ,Cavan,40
 , , ,Donegal,52
 , , ,Monaghan,26
 , ,24 years,,
 , , ,State,2011
 , , ,Carlow,19
 , , ,Dublin City,258
 , , ,Dún Laoghaire-Rathdown,112
 , , ,Fingal,133
 , , ,South Dublin,93
 , , ,Kildare,111
 , , ,Kilkenny,46
 , , ,Laois,37
 , , ,Longford,10
 , , ,Louth,38
 , , ,Meath,63
 , , ,Offaly,29
 , , ,Westmeath,43
 , , ,Wexford,55
 , , ,Wicklow,77
 , , ,Clare,49
 , , ,Cork City,65
 , , ,Cork County,190
 , , ,Kerry,67
 , , ,Limerick City and County,89
 , , ,Tipperary,45
 , , ,Waterford City and County,47
 , , ,Galway City,39
 , , ,Galway County,61
 , , ,Leitrim,16
 , , ,Mayo,47
 , , ,Roscommon,38
 , , ,Sligo,34
 , , ,Cavan,30
 , , ,Donegal,58
 , , ,Monaghan,12
 , ,25 years and over,,
 , , ,State,7231
 , , ,Carlow,71
 , , ,Dublin City,899
 , , ,Dún Laoghaire-Rathdown,317
 , , ,Fingal,531
 , , ,South Dublin,458
 , , ,Kildare,354
 , , ,Kilkenny,141
 , , ,Laois,106
 , , ,Longford,50
 , , ,Louth,191
 , , ,Meath,265
 , , ,Offaly,88
 , , ,Westmeath,124
 , , ,Wexford,212
 , , ,Wicklow,248
 , , ,Clare,171
 , , ,Cork City,208
 , , ,Cork County,679
 , , ,Kerry,239
 , , ,Limerick City and County,282
 , , ,Tipperary,192
 , , ,Waterford City and County,182
 , , ,Galway City,156
 , , ,Galway County,252
 , , ,Leitrim,50
 , , ,Mayo,180
 , , ,Roscommon,92
 , , ,Sligo,116
 , , ,Cavan,91
 , , ,Donegal,224
 , , ,Monaghan,62
 ,Female,,,
 , ,18 years,,
 , , ,State,10167
 , , ,Carlow,142
 , , ,Dublin City,913
 , , ,Dún Laoghaire-Rathdown,463
 , , ,Fingal,724
 , , ,South Dublin,591
 , , ,Kildare,548
 , , ,Kilkenny,225
 , , ,Laois,176
 , , ,Longford,84
 , , ,Louth,278
 , , ,Meath,479
 , , ,Offaly,170
 , , ,Westmeath,182
 , , ,Wexford,355
 , , ,Wicklow,373
 , , ,Clare,288
 , , ,Cork City,185
 , , ,Cork County,843
 , , ,Kerry,325
 , , ,Limerick City and County,418
 , , ,Tipperary,362
 , , ,Waterford City and County,282
 , , ,Galway City,125
 , , ,Galway County,373
 , , ,Leitrim,74
 , , ,Mayo,299
 , , ,Roscommon,135
 , , ,Sligo,141
 , , ,Cavan,160
 , , ,Donegal,325
 , , ,Monaghan,129
 , ,19 years,,
 , , ,State,7593
 , , ,Carlow,113
 , , ,Dublin City,586
 , , ,Dún Laoghaire-Rathdown,289
 , , ,Fingal,504
 , , ,South Dublin,365
 , , ,Kildare,404
 , , ,Kilkenny,171
 , , ,Laois,143
 , , ,Longford,64
 , , ,Louth,220
 , , ,Meath,344
 , , ,Offaly,126
 , , ,Westmeath,142
 , , ,Wexford,254
 , , ,Wicklow,270
 , , ,Clare,224
 , , ,Cork City,150
 , , ,Cork County,709
 , , ,Kerry,283
 , , ,Limerick City and County,331
 , , ,Tipperary,247
 , , ,Waterford City and County,185
 , , ,Galway City,97
 , , ,Galway County,299
 , , ,Leitrim,62
 , , ,Mayo,219
 , , ,Roscommon,131
 , , ,Sligo,124
 , , ,Cavan,145
 , , ,Donegal,295
 , , ,Monaghan,97
 , ,20 years,,
 , , ,State,9917
 , , ,Carlow,140
 , , ,Dublin City,774
 , , ,Dún Laoghaire-Rathdown,382
 , , ,Fingal,579
 , , ,South Dublin,480
 , , ,Kildare,491
 , , ,Kilkenny,245
 , , ,Laois,185
 , , ,Longford,108
 , , ,Louth,294
 , , ,Meath,447
 , , ,Offaly,170
 , , ,Westmeath,190
 , , ,Wexford,351
 , , ,Wicklow,318
 , , ,Clare,263
 , , ,Cork City,165
 , , ,Cork County,1010
 , , ,Kerry,416
 , , ,Limerick City and County,383
 , , ,Tipperary,324
 , , ,Waterford City and County,216
 , , ,Galway City,143
 , , ,Galway County,437
 , , ,Leitrim,85
 , , ,Mayo,273
 , , ,Roscommon,144
 , , ,Sligo,181
 , , ,Cavan,204
 , , ,Donegal,358
 , , ,Monaghan,161
 , ,21 years,,
 , , ,State,8763
 , , ,Carlow,125
 , , ,Dublin City,610
 , , ,Dún Laoghaire-Rathdown,403
 , , ,Fingal,490
 , , ,South Dublin,421
 , , ,Kildare,398
 , , ,Kilkenny,202
 , , ,Laois,144
 , , ,Longford,77
 , , ,Louth,222
 , , ,Meath,377
 , , ,Offaly,144
 , , ,Westmeath,185
 , , ,Wexford,292
 , , ,Wicklow,322
 , , ,Clare,245
 , , ,Cork City,148
 , , ,Cork County,920
 , , ,Kerry,358
 , , ,Limerick City and County,368
 , , ,Tipperary,317
 , , ,Waterford City and County,219
 , , ,Galway City,140
 , , ,Galway County,416
 , , ,Leitrim,79
 , , ,Mayo,279
 , , ,Roscommon,120
 , , ,Sligo,153
 , , ,Cavan,173
 , , ,Donegal,294
 , , ,Monaghan,122
 , ,22 years,,
 , , ,State,5523
 , , ,Carlow,83
 , , ,Dublin City,449
 , , ,Dún Laoghaire-Rathdown,275
 , , ,Fingal,339
 , , ,South Dublin,279
 , , ,Kildare,252
 , , ,Kilkenny,139
 , , ,Laois,110
 , , ,Longford,42
 , , ,Louth,128
 , , ,Meath,236
 , , ,Offaly,85
 , , ,Westmeath,95
 , , ,Wexford,171
 , , ,Wicklow,182
 , , ,Clare,155
 , , ,Cork City,117
 , , ,Cork County,596
 , , ,Kerry,218
 , , ,Limerick City and County,237
 , , ,Tipperary,173
 , , ,Waterford City and County,120
 , , ,Galway City,78
 , , ,Galway County,212
 , , ,Leitrim,32
 , , ,Mayo,184
 , , ,Roscommon,101
 , , ,Sligo,86
 , , ,Cavan,105
 , , ,Donegal,153
 , , ,Monaghan,91
 , ,23 years,,
 , , ,State,3236
 , , ,Carlow,45
 , , ,Dublin City,275
 , , ,Dún Laoghaire-Rathdown,179
 , , ,Fingal,213
 , , ,South Dublin,150
 , , ,Kildare,157
 , , ,Kilkenny,70
 , , ,Laois,51
 , , ,Longford,30
 , , ,Louth,88
 , , ,Meath,131
 , , ,Offaly,42
 , , ,Westmeath,63
 , , ,Wexford,110
 , , ,Wicklow,113
 , , ,Clare,73
 , , ,Cork City,96
 , , ,Cork County,330
 , , ,Kerry,123
 , , ,Limerick City and County,121
 , , ,Tipperary,110
 , , ,Waterford City and County,81
 , , ,Galway City,57
 , , ,Galway County,118
 , , ,Leitrim,20
 , , ,Mayo,111
 , , ,Roscommon,44
 , , ,Sligo,52
 , , ,Cavan,59
 , , ,Donegal,85
 , , ,Monaghan,39
 , ,24 years,,
 , , ,State,2159
 , , ,Carlow,20
 , , ,Dublin City,211
 , , ,Dún Laoghaire-Rathdown,96
 , , ,Fingal,128
 , , ,South Dublin,129
 , , ,Kildare,103
 , , ,Kilkenny,55
 , , ,Laois,43
 , , ,Longford,13
 , , ,Louth,52
 , , ,Meath,74
 , , ,Offaly,32
 , , ,Westmeath,45
 , , ,Wexford,79
 , , ,Wicklow,70
 , , ,Clare,46
 , , ,Cork City,56
 , , ,Cork County,233
 , , ,Kerry,75
 , , ,Limerick City and County,74
 , , ,Tipperary,77
 , , ,Waterford City and County,42
 , , ,Galway City,39
 , , ,Galway County,82
 , , ,Leitrim,24
 , , ,Mayo,65
 , , ,Roscommon,29
 , , ,Sligo,31
 , , ,Cavan,41
 , , ,Donegal,62
 , , ,Monaghan,33
 , ,25 years and over,,
 , , ,State,9403
 , , ,Carlow,160
 , , ,Dublin City,920
 , , ,Dún Laoghaire-Rathdown,446
 , , ,Fingal,575
 , , ,South Dublin,450
 , , ,Kildare,443
 , , ,Kilkenny,210
 , , ,Laois,159
 , , ,Longford,80
 , , ,Louth,263
 , , ,Meath,383
 , , ,Offaly,137
 , , ,Westmeath,176
 , , ,Wexford,312
 , , ,Wicklow,337
 , , ,Clare,226
 , , ,Cork City,258
 , , ,Cork County,832
 , , ,Kerry,319
 , , ,Limerick City and County,374
 , , ,Tipperary,359
 , , ,Waterford City and County,255
 , , ,Galway City,185
 , , ,Galway County,349
 , , ,Leitrim,78
 , , ,Mayo,234
 , , ,Roscommon,132
 , , ,Sligo,125
 , , ,Cavan,165
 , , ,Donegal,331
 , , ,Monaghan,130
Ordinary bachelor degree/professional qualification or both,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,6139
 , , ,Carlow,54
 , , ,Dublin City,752
 , , ,Dún Laoghaire-Rathdown,449
 , , ,Fingal,629
 , , ,South Dublin,438
 , , ,Kildare,385
 , , ,Kilkenny,128
 , , ,Laois,74
 , , ,Longford,40
 , , ,Louth,133
 , , ,Meath,286
 , , ,Offaly,72
 , , ,Westmeath,72
 , , ,Wexford,156
 , , ,Wicklow,232
 , , ,Clare,146
 , , ,Cork City,123
 , , ,Cork County,558
 , , ,Kerry,120
 , , ,Limerick City and County,230
 , , ,Tipperary,174
 , , ,Waterford City and County,151
 , , ,Galway City,69
 , , ,Galway County,170
 , , ,Leitrim,26
 , , ,Mayo,114
 , , ,Roscommon,57
 , , ,Sligo,76
 , , ,Cavan,60
 , , ,Donegal,118
 , , ,Monaghan,47
 , ,19 years,,
 , , ,State,3090
 , , ,Carlow,39
 , , ,Dublin City,353
 , , ,Dún Laoghaire-Rathdown,181
 , , ,Fingal,243
 , , ,South Dublin,189
 , , ,Kildare,168
 , , ,Kilkenny,56
 , , ,Laois,51
 , , ,Longford,15
 , , ,Louth,82
 , , ,Meath,153
 , , ,Offaly,45
 , , ,Westmeath,66
 , , ,Wexford,101
 , , ,Wicklow,97
 , , ,Clare,70
 , , ,Cork City,90
 , , ,Cork County,275
 , , ,Kerry,90
 , , ,Limerick City and County,117
 , , ,Tipperary,70
 , , ,Waterford City and County,45
 , , ,Galway City,53
 , , ,Galway County,119
 , , ,Leitrim,10
 , , ,Mayo,84
 , , ,Roscommon,36
 , , ,Sligo,35
 , , ,Cavan,38
 , , ,Donegal,79
 , , ,Monaghan,40
 , ,20 years,,
 , , ,State,7070
 , , ,Carlow,74
 , , ,Dublin City,610
 , , ,Dún Laoghaire-Rathdown,369
 , , ,Fingal,501
 , , ,South Dublin,400
 , , ,Kildare,409
 , , ,Kilkenny,145
 , , ,Laois,124
 , , ,Longford,54
 , , ,Louth,237
 , , ,Meath,322
 , , ,Offaly,104
 , , ,Westmeath,121
 , , ,Wexford,198
 , , ,Wicklow,228
 , , ,Clare,194
 , , ,Cork City,156
 , , ,Cork County,735
 , , ,Kerry,218
 , , ,Limerick City and County,280
 , , ,Tipperary,209
 , , ,Waterford City and County,170
 , , ,Galway City,106
 , , ,Galway County,294
 , , ,Leitrim,47
 , , ,Mayo,165
 , , ,Roscommon,108
 , , ,Sligo,99
 , , ,Cavan,121
 , , ,Donegal,180
 , , ,Monaghan,92
 , ,21 years,,
 , , ,State,14892
 , , ,Carlow,144
 , , ,Dublin City,1452
 , , ,Dún Laoghaire-Rathdown,854
 , , ,Fingal,970
 , , ,South Dublin,744
 , , ,Kildare,756
 , , ,Kilkenny,320
 , , ,Laois,217
 , , ,Longford,109
 , , ,Louth,421
 , , ,Meath,682
 , , ,Offaly,196
 , , ,Westmeath,268
 , , ,Wexford,409
 , , ,Wicklow,480
 , , ,Clare,404
 , , ,Cork City,318
 , , ,Cork County,1576
 , , ,Kerry,540
 , , ,Limerick City and County,595
 , , ,Tipperary,468
 , , ,Waterford City and County,343
 , , ,Galway City,252
 , , ,Galway County,637
 , , ,Leitrim,108
 , , ,Mayo,418
 , , ,Roscommon,205
 , , ,Sligo,222
 , , ,Cavan,229
 , , ,Donegal,384
 , , ,Monaghan,171
 , ,22 years,,
 , , ,State,13702
 , , ,Carlow,136
 , , ,Dublin City,1596
 , , ,Dún Laoghaire-Rathdown,845
 , , ,Fingal,912
 , , ,South Dublin,650
 , , ,Kildare,677
 , , ,Kilkenny,273
 , , ,Laois,172
 , , ,Longford,98
 , , ,Louth,309
 , , ,Meath,544
 , , ,Offaly,146
 , , ,Westmeath,237
 , , ,Wexford,373
 , , ,Wicklow,485
 , , ,Clare,406
 , , ,Cork City,346
 , , ,Cork County,1439
 , , ,Kerry,496
 , , ,Limerick City and County,613
 , , ,Tipperary,405
 , , ,Waterford City and County,293
 , , ,Galway City,268
 , , ,Galway County,527
 , , ,Leitrim,91
 , , ,Mayo,370
 , , ,Roscommon,176
 , , ,Sligo,165
 , , ,Cavan,172
 , , ,Donegal,346
 , , ,Monaghan,136
 , ,23 years,,
 , , ,State,8522
 , , ,Carlow,83
 , , ,Dublin City,1216
 , , ,Dún Laoghaire-Rathdown,533
 , , ,Fingal,575
 , , ,South Dublin,429
 , , ,Kildare,419
 , , ,Kilkenny,156
 , , ,Laois,115
 , , ,Longford,47
 , , ,Louth,198
 , , ,Meath,331
 , , ,Offaly,94
 , , ,Westmeath,152
 , , ,Wexford,206
 , , ,Wicklow,301
 , , ,Clare,220
 , , ,Cork City,249
 , , ,Cork County,838
 , , ,Kerry,274
 , , ,Limerick City and County,318
 , , ,Tipperary,206
 , , ,Waterford City and County,159
 , , ,Galway City,181
 , , ,Galway County,337
 , , ,Leitrim,48
 , , ,Mayo,239
 , , ,Roscommon,120
 , , ,Sligo,112
 , , ,Cavan,94
 , , ,Donegal,189
 , , ,Monaghan,83
 , ,24 years,,
 , , ,State,6143
 , , ,Carlow,56
 , , ,Dublin City,899
 , , ,Dún Laoghaire-Rathdown,421
 , , ,Fingal,455
 , , ,South Dublin,346
 , , ,Kildare,301
 , , ,Kilkenny,115
 , , ,Laois,76
 , , ,Longford,43
 , , ,Louth,146
 , , ,Meath,235
 , , ,Offaly,60
 , , ,Westmeath,109
 , , ,Wexford,141
 , , ,Wicklow,200
 , , ,Clare,148
 , , ,Cork City,190
 , , ,Cork County,567
 , , ,Kerry,198
 , , ,Limerick City and County,237
 , , ,Tipperary,161
 , , ,Waterford City and County,116
 , , ,Galway City,114
 , , ,Galway County,220
 , , ,Leitrim,40
 , , ,Mayo,144
 , , ,Roscommon,72
 , , ,Sligo,84
 , , ,Cavan,70
 , , ,Donegal,127
 , , ,Monaghan,52
 , ,25 years and over,,
 , , ,State,17605
 , , ,Carlow,155
 , , ,Dublin City,2610
 , , ,Dún Laoghaire-Rathdown,1037
 , , ,Fingal,1260
 , , ,South Dublin,1017
 , , ,Kildare,769
 , , ,Kilkenny,330
 , , ,Laois,258
 , , ,Longford,139
 , , ,Louth,434
 , , ,Meath,637
 , , ,Offaly,202
 , , ,Westmeath,301
 , , ,Wexford,448
 , , ,Wicklow,554
 , , ,Clare,410
 , , ,Cork City,578
 , , ,Cork County,1464
 , , ,Kerry,538
 , , ,Limerick City and County,616
 , , ,Tipperary,489
 , , ,Waterford City and County,423
 , , ,Galway City,471
 , , ,Galway County,658
 , , ,Leitrim,113
 , , ,Mayo,453
 , , ,Roscommon,195
 , , ,Sligo,243
 , , ,Cavan,206
 , , ,Donegal,445
 , , ,Monaghan,152
 ,Female,,,
 , ,18 years,,
 , , ,State,8355
 , , ,Carlow,81
 , , ,Dublin City,867
 , , ,Dún Laoghaire-Rathdown,455
 , , ,Fingal,660
 , , ,South Dublin,576
 , , ,Kildare,461
 , , ,Kilkenny,163
 , , ,Laois,143
 , , ,Longford,62
 , , ,Louth,200
 , , ,Meath,430
 , , ,Offaly,141
 , , ,Westmeath,129
 , , ,Wexford,266
 , , ,Wicklow,272
 , , ,Clare,239
 , , ,Cork City,173
 , , ,Cork County,721
 , , ,Kerry,201
 , , ,Limerick City and County,347
 , , ,Tipperary,264
 , , ,Waterford City and County,173
 , , ,Galway City,116
 , , ,Galway County,332
 , , ,Leitrim,54
 , , ,Mayo,207
 , , ,Roscommon,111
 , , ,Sligo,118
 , , ,Cavan,110
 , , ,Donegal,195
 , , ,Monaghan,88
 , ,19 years,,
 , , ,State,5588
 , , ,Carlow,57
 , , ,Dublin City,509
 , , ,Dún Laoghaire-Rathdown,275
 , , ,Fingal,397
 , , ,South Dublin,302
 , , ,Kildare,301
 , , ,Kilkenny,118
 , , ,Laois,83
 , , ,Longford,41
 , , ,Louth,154
 , , ,Meath,303
 , , ,Offaly,78
 , , ,Westmeath,93
 , , ,Wexford,183
 , , ,Wicklow,207
 , , ,Clare,160
 , , ,Cork City,113
 , , ,Cork County,557
 , , ,Kerry,185
 , , ,Limerick City and County,247
 , , ,Tipperary,178
 , , ,Waterford City and County,149
 , , ,Galway City,81
 , , ,Galway County,209
 , , ,Leitrim,31
 , , ,Mayo,134
 , , ,Roscommon,68
 , , ,Sligo,71
 , , ,Cavan,90
 , , ,Donegal,164
 , , ,Monaghan,50
 , ,20 years,,
 , , ,State,10706
 , , ,Carlow,113
 , , ,Dublin City,871
 , , ,Dún Laoghaire-Rathdown,613
 , , ,Fingal,699
 , , ,South Dublin,558
 , , ,Kildare,537
 , , ,Kilkenny,257
 , , ,Laois,173
 , , ,Longford,73
 , , ,Louth,318
 , , ,Meath,491
 , , ,Offaly,158
 , , ,Westmeath,205
 , , ,Wexford,296
 , , ,Wicklow,341
 , , ,Clare,299
 , , ,Cork City,196
 , , ,Cork County,1102
 , , ,Kerry,419
 , , ,Limerick City and County,430
 , , ,Tipperary,322
 , , ,Waterford City and County,247
 , , ,Galway City,178
 , , ,Galway County,462
 , , ,Leitrim,73
 , , ,Mayo,257
 , , ,Roscommon,138
 , , ,Sligo,176
 , , ,Cavan,181
 , , ,Donegal,373
 , , ,Monaghan,150
 , ,21 years,,
 , , ,State,19175
 , , ,Carlow,192
 , , ,Dublin City,1801
 , , ,Dún Laoghaire-Rathdown,1130
 , , ,Fingal,1159
 , , ,South Dublin,915
 , , ,Kildare,911
 , , ,Kilkenny,430
 , , ,Laois,305
 , , ,Longford,134
 , , ,Louth,509
 , , ,Meath,751
 , , ,Offaly,284
 , , ,Westmeath,317
 , , ,Wexford,585
 , , ,Wicklow,625
 , , ,Clare,578
 , , ,Cork City,411
 , , ,Cork County,1935
 , , ,Kerry,735
 , , ,Limerick City and County,708
 , , ,Tipperary,602
 , , ,Waterford City and County,426
 , , ,Galway City,320
 , , ,Galway County,867
 , , ,Leitrim,147
 , , ,Mayo,581
 , , ,Roscommon,291
 , , ,Sligo,345
 , , ,Cavan,273
 , , ,Donegal,660
 , , ,Monaghan,248
 , ,22 years,,
 , , ,State,15217
 , , ,Carlow,144
 , , ,Dublin City,1767
 , , ,Dún Laoghaire-Rathdown,880
 , , ,Fingal,1001
 , , ,South Dublin,658
 , , ,Kildare,674
 , , ,Kilkenny,415
 , , ,Laois,204
 , , ,Longford,127
 , , ,Louth,354
 , , ,Meath,560
 , , ,Offaly,200
 , , ,Westmeath,274
 , , ,Wexford,399
 , , ,Wicklow,445
 , , ,Clare,444
 , , ,Cork City,364
 , , ,Cork County,1529
 , , ,Kerry,587
 , , ,Limerick City and County,585
 , , ,Tipperary,447
 , , ,Waterford City and County,351
 , , ,Galway City,305
 , , ,Galway County,662
 , , ,Leitrim,88
 , , ,Mayo,417
 , , ,Roscommon,203
 , , ,Sligo,227
 , , ,Cavan,227
 , , ,Donegal,483
 , , ,Monaghan,196
 , ,23 years,,
 , , ,State,8829
 , , ,Carlow,87
 , , ,Dublin City,1135
 , , ,Dún Laoghaire-Rathdown,543
 , , ,Fingal,589
 , , ,South Dublin,441
 , , ,Kildare,401
 , , ,Kilkenny,207
 , , ,Laois,124
 , , ,Longford,62
 , , ,Louth,192
 , , ,Meath,326
 , , ,Offaly,121
 , , ,Westmeath,134
 , , ,Wexford,266
 , , ,Wicklow,304
 , , ,Clare,217
 , , ,Cork City,229
 , , ,Cork County,852
 , , ,Kerry,308
 , , ,Limerick City and County,335
 , , ,Tipperary,246
 , , ,Waterford City and County,179
 , , ,Galway City,189
 , , ,Galway County,359
 , , ,Leitrim,46
 , , ,Mayo,281
 , , ,Roscommon,109
 , , ,Sligo,107
 , , ,Cavan,117
 , , ,Donegal,218
 , , ,Monaghan,105
 , ,24 years,,
 , , ,State,5818
 , , ,Carlow,46
 , , ,Dublin City,773
 , , ,Dún Laoghaire-Rathdown,349
 , , ,Fingal,441
 , , ,South Dublin,311
 , , ,Kildare,220
 , , ,Kilkenny,107
 , , ,Laois,86
 , , ,Longford,37
 , , ,Louth,120
 , , ,Meath,209
 , , ,Offaly,84
 , , ,Westmeath,102
 , , ,Wexford,157
 , , ,Wicklow,190
 , , ,Clare,140
 , , ,Cork City,179
 , , ,Cork County,546
 , , ,Kerry,186
 , , ,Limerick City and County,204
 , , ,Tipperary,197
 , , ,Waterford City and County,110
 , , ,Galway City,154
 , , ,Galway County,210
 , , ,Leitrim,38
 , , ,Mayo,149
 , , ,Roscommon,75
 , , ,Sligo,87
 , , ,Cavan,85
 , , ,Donegal,159
 , , ,Monaghan,67
 , ,25 years and over,,
 , , ,State,18432
 , , ,Carlow,198
 , , ,Dublin City,2278
 , , ,Dún Laoghaire-Rathdown,1017
 , , ,Fingal,1218
 , , ,South Dublin,924
 , , ,Kildare,821
 , , ,Kilkenny,386
 , , ,Laois,274
 , , ,Longford,156
 , , ,Louth,461
 , , ,Meath,641
 , , ,Offaly,250
 , , ,Westmeath,296
 , , ,Wexford,495
 , , ,Wicklow,613
 , , ,Clare,437
 , , ,Cork City,480
 , , ,Cork County,1560
 , , ,Kerry,675
 , , ,Limerick City and County,676
 , , ,Tipperary,570
 , , ,Waterford City and County,461
 , , ,Galway City,477
 , , ,Galway County,820
 , , ,Leitrim,140
 , , ,Mayo,567
 , , ,Roscommon,253
 , , ,Sligo,309
 , , ,Cavan,228
 , , ,Donegal,567
 , , ,Monaghan,184
Honours bachelor degree/professional qualification or both,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,4165
 , , ,Carlow,34
 , , ,Dublin City,546
 , , ,Dún Laoghaire-Rathdown,457
 , , ,Fingal,451
 , , ,South Dublin,370
 , , ,Kildare,279
 , , ,Kilkenny,78
 , , ,Laois,52
 , , ,Longford,17
 , , ,Louth,107
 , , ,Meath,177
 , , ,Offaly,44
 , , ,Westmeath,54
 , , ,Wexford,106
 , , ,Wicklow,153
 , , ,Clare,66
 , , ,Cork City,89
 , , ,Cork County,323
 , , ,Kerry,74
 , , ,Limerick City and County,125
 , , ,Tipperary,74
 , , ,Waterford City and County,95
 , , ,Galway City,44
 , , ,Galway County,83
 , , ,Leitrim,16
 , , ,Mayo,69
 , , ,Roscommon,32
 , , ,Sligo,33
 , , ,Cavan,25
 , , ,Donegal,62
 , , ,Monaghan,30
 , ,19 years,,
 , , ,State,1712
 , , ,Carlow,19
 , , ,Dublin City,194
 , , ,Dún Laoghaire-Rathdown,160
 , , ,Fingal,155
 , , ,South Dublin,127
 , , ,Kildare,106
 , , ,Kilkenny,32
 , , ,Laois,18
 , , ,Longford,5
 , , ,Louth,38
 , , ,Meath,95
 , , ,Offaly,11
 , , ,Westmeath,39
 , , ,Wexford,44
 , , ,Wicklow,63
 , , ,Clare,51
 , , ,Cork City,21
 , , ,Cork County,170
 , , ,Kerry,42
 , , ,Limerick City and County,59
 , , ,Tipperary,43
 , , ,Waterford City and County,36
 , , ,Galway City,20
 , , ,Galway County,34
 , , ,Leitrim,4
 , , ,Mayo,22
 , , ,Roscommon,19
 , , ,Sligo,21
 , , ,Cavan,17
 , , ,Donegal,32
 , , ,Monaghan,15
 , ,20 years,,
 , , ,State,4796
 , , ,Carlow,43
 , , ,Dublin City,720
 , , ,Dún Laoghaire-Rathdown,442
 , , ,Fingal,412
 , , ,South Dublin,290
 , , ,Kildare,294
 , , ,Kilkenny,93
 , , ,Laois,60
 , , ,Longford,27
 , , ,Louth,141
 , , ,Meath,220
 , , ,Offaly,46
 , , ,Westmeath,85
 , , ,Wexford,93
 , , ,Wicklow,169
 , , ,Clare,105
 , , ,Cork City,92
 , , ,Cork County,380
 , , ,Kerry,101
 , , ,Limerick City and County,135
 , , ,Tipperary,91
 , , ,Waterford City and County,102
 , , ,Galway City,86
 , , ,Galway County,152
 , , ,Leitrim,27
 , , ,Mayo,82
 , , ,Roscommon,51
 , , ,Sligo,47
 , , ,Cavan,61
 , , ,Donegal,105
 , , ,Monaghan,44
 , ,21 years,,
 , , ,State,20499
 , , ,Carlow,150
 , , ,Dublin City,3354
 , , ,Dún Laoghaire-Rathdown,1916
 , , ,Fingal,1527
 , , ,South Dublin,1143
 , , ,Kildare,1118
 , , ,Kilkenny,352
 , , ,Laois,254
 , , ,Longford,132
 , , ,Louth,488
 , , ,Meath,786
 , , ,Offaly,169
 , , ,Westmeath,281
 , , ,Wexford,430
 , , ,Wicklow,585
 , , ,Clare,488
 , , ,Cork City,476
 , , ,Cork County,1833
 , , ,Kerry,495
 , , ,Limerick City and County,774
 , , ,Tipperary,451
 , , ,Waterford City and County,430
 , , ,Galway City,417
 , , ,Galway County,763
 , , ,Leitrim,128
 , , ,Mayo,355
 , , ,Roscommon,190
 , , ,Sligo,210
 , , ,Cavan,181
 , , ,Donegal,482
 , , ,Monaghan,141
 , ,22 years,,
 , , ,State,27470
 , , ,Carlow,223
 , , ,Dublin City,4708
 , , ,Dún Laoghaire-Rathdown,2672
 , , ,Fingal,1859
 , , ,South Dublin,1475
 , , ,Kildare,1254
 , , ,Kilkenny,531
 , , ,Laois,274
 , , ,Longford,133
 , , ,Louth,511
 , , ,Meath,917
 , , ,Offaly,259
 , , ,Westmeath,426
 , , ,Wexford,582
 , , ,Wicklow,776
 , , ,Clare,589
 , , ,Cork City,840
 , , ,Cork County,2688
 , , ,Kerry,648
 , , ,Limerick City and County,1151
 , , ,Tipperary,647
 , , ,Waterford City and County,553
