Education,Gender,Age,County,Occurrences
Honours bachelor degree/professional qualification or both,Male,20 years,Donegal,105
Honours bachelor degree/professional qualification or both,Male,20 years,Monaghan,44
,,,,
Honours bachelor degree/professional qualification or both,Male,21 years,State,20499
Honours bachelor degree/professional qualification or both,Male,21 years,Carlow,150
Honours bachelor degree/professional qualification or both,Male,21 years,Dublin City,3354
Honours bachelor degree/professional qualification or both,Male,21 years,Dún Laoghaire-Rathdown,1916
Honours bachelor degree/professional qualification or both,Male,21 years,Fingal,1527
Honours bachelor degree/professional qualification or both,Male,21 years,South Dublin,1143
Honours bachelor degree/professional qualification or both,Male,21 years,Kildare,1118
Honours bachelor degree/professional qualification or both,Male,21 years,Kilkenny,352
Honours bachelor degree/professional qualification or both,Male,21 years,Laois,254
Honours bachelor degree/professional qualification or both,Male,21 years,Longford,132
Honours bachelor degree/professional qualification or both,Male,21 years,Louth,488
Honours bachelor degree/professional qualification or both,Male,21 years,Meath,786
Honours bachelor degree/professional qualification or both,Male,21 years,Offaly,169
Honours bachelor degree/professional qualification or both,Male,21 years,Westmeath,281
Honours bachelor degree/professional qualification or both,Male,21 years,Wexford,430
Honours bachelor degree/professional qualification or both,Male,21 years,Wicklow,585
Honours bachelor degree/professional qualification or both,Male,21 years,Clare,488
Honours bachelor degree/professional qualification or both,Male,21 years,Cork City,476
Honours bachelor degree/professional qualification or both,Male,21 years,Cork County,1833
Honours bachelor degree/professional qualification or both,Male,21 years,Kerry,495
Honours bachelor degree/professional qualification or both,Male,21 years,Limerick City and County,774
Honours bachelor degree/professional qualification or both,Male,21 years,Tipperary,451
Honours bachelor degree/professional qualification or both,Male,21 years,Waterford City and County,430
Honours bachelor degree/professional qualification or both,Male,21 years,Galway City,417
Honours bachelor degree/professional qualification or both,Male,21 years,Galway County,763
Honours bachelor degree/professional qualification or both,Male,21 years,Leitrim,128
Honours bachelor degree/professional qualification or both,Male,21 years,Mayo,355
Honours bachelor degree/professional qualification or both,Male,21 years,Roscommon,190
Honours bachelor degree/professional qualification or both,Male,21 years,Sligo,210
Honours bachelor degree/professional qualification or both,Male,21 years,Cavan,181
Honours bachelor degree/professional qualification or both,Male,21 years,Donegal,482
Honours bachelor degree/professional qualification or both,Male,21 years,Monaghan,141
,,,,
Honours bachelor degree/professional qualification or both,Male,22 years,State,27470
Honours bachelor degree/professional qualification or both,Male,22 years,Carlow,223
Honours bachelor degree/professional qualification or both,Male,22 years,Dublin City,4708
Honours bachelor degree/professional qualification or both,Male,22 years,Dún Laoghaire-Rathdown,2672
Honours bachelor degree/professional qualification or both,Male,22 years,Fingal,1859
Honours bachelor degree/professional qualification or both,Male,22 years,South Dublin,1475
Honours bachelor degree/professional qualification or both,Male,22 years,Kildare,1254
Honours bachelor degree/professional qualification or both,Male,22 years,Kilkenny,531
Honours bachelor degree/professional qualification or both,Male,22 years,Laois,274
Honours bachelor degree/professional qualification or both,Male,22 years,Longford,133
Honours bachelor degree/professional qualification or both,Male,22 years,Louth,511
Honours bachelor degree/professional qualification or both,Male,22 years,Meath,917
Honours bachelor degree/professional qualification or both,Male,22 years,Offaly,259
Honours bachelor degree/professional qualification or both,Male,22 years,Westmeath,426
Honours bachelor degree/professional qualification or both,Male,22 years,Wexford,582
Honours bachelor degree/professional qualification or both,Male,22 years,Wicklow,776
Honours bachelor degree/professional qualification or both,Male,22 years,Clare,589
Honours bachelor degree/professional qualification or both,Male,22 years,Cork City,840
Honours bachelor degree/professional qualification or both,Male,22 years,Cork County,2688
Honours bachelor degree/professional qualification or both,Male,22 years,Kerry,648
Honours bachelor degree/professional qualification or both,Male,22 years,Limerick City and County,1151
Honours bachelor degree/professional qualification or both,Male,22 years,Tipperary,647
Honours bachelor degree/professional qualification or both,Male,22 years,Waterford City and County,553
Honours bachelor degree/professional qualification or both,Male,22 years,Galway City,523
Honours bachelor degree/professional qualification or both,Male,22 years,Galway County,962
Honours bachelor degree/professional qualification or both,Male,22 years,Leitrim,129
Honours bachelor degree/professional qualification or both,Male,22 years,Mayo,573
Honours bachelor degree/professional qualification or both,Male,22 years,Roscommon,260
Honours bachelor degree/professional qualification or both,Male,22 years,Sligo,297
Honours bachelor degree/professional qualification or both,Male,22 years,Cavan,255
Honours bachelor degree/professional qualification or both,Male,22 years,Donegal,517
Honours bachelor degree/professional qualification or both,Male,22 years,Monaghan,238
,,,,
Honours bachelor degree/professional qualification or both,Male,23 years,State,17305
Honours bachelor degree/professional qualification or both,Male,23 years,Carlow,134
Honours bachelor degree/professional qualification or both,Male,23 years,Dublin City,3067
Honours bachelor degree/professional qualification or both,Male,23 years,Dún Laoghaire-Rathdown,1530
Honours bachelor degree/professional qualification or both,Male,23 years,Fingal,1135
Honours bachelor degree/professional qualification or both,Male,23 years,South Dublin,899
Honours bachelor degree/professional qualification or both,Male,23 years,Kildare,809
Honours bachelor degree/professional qualification or both,Male,23 years,Kilkenny,369
Honours bachelor degree/professional qualification or both,Male,23 years,Laois,182
Honours bachelor degree/professional qualification or both,Male,23 years,Longford,86
Honours bachelor degree/professional qualification or both,Male,23 years,Louth,345
Honours bachelor degree/professional qualification or both,Male,23 years,Meath,528
Honours bachelor degree/professional qualification or both,Male,23 years,Offaly,171
Honours bachelor degree/professional qualification or both,Male,23 years,Westmeath,268
Honours bachelor degree/professional qualification or both,Male,23 years,Wexford,379
Honours bachelor degree/professional qualification or both,Male,23 years,Wicklow,516
Honours bachelor degree/professional qualification or both,Male,23 years,Clare,349
Honours bachelor degree/professional qualification or both,Male,23 years,Cork City,542
Honours bachelor degree/professional qualification or both,Male,23 years,Cork County,1667
Honours bachelor degree/professional qualification or both,Male,23 years,Kerry,390
Honours bachelor degree/professional qualification or both,Male,23 years,Limerick City and County,677
Honours bachelor degree/professional qualification or both,Male,23 years,Tipperary,408
Honours bachelor degree/professional qualification or both,Male,23 years,Waterford City and County,341
Honours bachelor degree/professional qualification or both,Male,23 years,Galway City,352
Honours bachelor degree/professional qualification or both,Male,23 years,Galway County,580
Honours bachelor degree/professional qualification or both,Male,23 years,Leitrim,95
Honours bachelor degree/professional qualification or both,Male,23 years,Mayo,404
Honours bachelor degree/professional qualification or both,Male,23 years,Roscommon,188
Honours bachelor degree/professional qualification or both,Male,23 years,Sligo,194
Honours bachelor degree/professional qualification or both,Male,23 years,Cavan,181
Honours bachelor degree/professional qualification or both,Male,23 years,Donegal,348
Honours bachelor degree/professional qualification or both,Male,23 years,Monaghan,171
,,,,
Honours bachelor degree/professional qualification or both,Male,24 years,State,10873
Honours bachelor degree/professional qualification or both,Male,24 years,Carlow,98
Honours bachelor degree/professional qualification or both,Male,24 years,Dublin City,1973
Honours bachelor degree/professional qualification or both,Male,24 years,Dún Laoghaire-Rathdown,968
Honours bachelor degree/professional qualification or both,Male,24 years,Fingal,749
Honours bachelor degree/professional qualification or both,Male,24 years,South Dublin,603
Honours bachelor degree/professional qualification or both,Male,24 years,Kildare,510
Honours bachelor degree/professional qualification or both,Male,24 years,Kilkenny,197
Honours bachelor degree/professional qualification or both,Male,24 years,Laois,121
Honours bachelor degree/professional qualification or both,Male,24 years,Longford,41
Honours bachelor degree/professional qualification or both,Male,24 years,Louth,231
Honours bachelor degree/professional qualification or both,Male,24 years,Meath,324
Honours bachelor degree/professional qualification or both,Male,24 years,Offaly,101
Honours bachelor degree/professional qualification or both,Male,24 years,Westmeath,189
Honours bachelor degree/professional qualification or both,Male,24 years,Wexford,224
Honours bachelor degree/professional qualification or both,Male,24 years,Wicklow,316
Honours bachelor degree/professional qualification or both,Male,24 years,Clare,194
Honours bachelor degree/professional qualification or both,Male,24 years,Cork City,347
Honours bachelor degree/professional qualification or both,Male,24 years,Cork County,973
Honours bachelor degree/professional qualification or both,Male,24 years,Kerry,266
Honours bachelor degree/professional qualification or both,Male,24 years,Limerick City and County,367
Honours bachelor degree/professional qualification or both,Male,24 years,Tipperary,251
Honours bachelor degree/professional qualification or both,Male,24 years,Waterford City and County,221
Honours bachelor degree/professional qualification or both,Male,24 years,Galway City,270
Honours bachelor degree/professional qualification or both,Male,24 years,Galway County,360
Honours bachelor degree/professional qualification or both,Male,24 years,Leitrim,55
Honours bachelor degree/professional qualification or both,Male,24 years,Mayo,258
Honours bachelor degree/professional qualification or both,Male,24 years,Roscommon,112
Honours bachelor degree/professional qualification or both,Male,24 years,Sligo,140
Honours bachelor degree/professional qualification or both,Male,24 years,Cavan,92
Honours bachelor degree/professional qualification or both,Male,24 years,Donegal,234
Honours bachelor degree/professional qualification or both,Male,24 years,Monaghan,88
,,,,
Honours bachelor degree/professional qualification or both,Male,25 years and over,State,27750
Honours bachelor degree/professional qualification or both,Male,25 years and over,Carlow,291
Honours bachelor degree/professional qualification or both,Male,25 years and over,Dublin City,4509
Honours bachelor degree/professional qualification or both,Male,25 years and over,Dún Laoghaire-Rathdown,2148
Honours bachelor degree/professional qualification or both,Male,25 years and over,Fingal,1940
Honours bachelor degree/professional qualification or both,Male,25 years and over,South Dublin,1543
Honours bachelor degree/professional qualification or both,Male,25 years and over,Kildare,1228
Honours bachelor degree/professional qualification or both,Male,25 years and over,Kilkenny,527
Honours bachelor degree/professional qualification or both,Male,25 years and over,Laois,328
Honours bachelor degree/professional qualification or both,Male,25 years and over,Longford,161
Honours bachelor degree/professional qualification or both,Male,25 years and over,Louth,647
Honours bachelor degree/professional qualification or both,Male,25 years and over,Meath,942
Honours bachelor degree/professional qualification or both,Male,25 years and over,Offaly,288
Honours bachelor degree/professional qualification or both,Male,25 years and over,Westmeath,424
Honours bachelor degree/professional qualification or both,Male,25 years and over,Wexford,609
Honours bachelor degree/professional qualification or both,Male,25 years and over,Wicklow,817
Honours bachelor degree/professional qualification or both,Male,25 years and over,Clare,599
Honours bachelor degree/professional qualification or both,Male,25 years and over,Cork City,908
Honours bachelor degree/professional qualification or both,Male,25 years and over,Cork County,2297
Honours bachelor degree/professional qualification or both,Male,25 years and over,Kerry,719
Honours bachelor degree/professional qualification or both,Male,25 years and over,Limerick City and County,1160
Honours bachelor degree/professional qualification or both,Male,25 years and over,Tipperary,687
Honours bachelor degree/professional qualification or both,Male,25 years and over,Waterford City and County,681
Honours bachelor degree/professional qualification or both,Male,25 years and over,Galway City,736
Honours bachelor degree/professional qualification or both,Male,25 years and over,Galway County,930
Honours bachelor degree/professional qualification or both,Male,25 years and over,Leitrim,148
Honours bachelor degree/professional qualification or both,Male,25 years and over,Mayo,609
Honours bachelor degree/professional qualification or both,Male,25 years and over,Roscommon,300
Honours bachelor degree/professional qualification or both,Male,25 years and over,Sligo,361
Honours bachelor degree/professional qualification or both,Male,25 years and over,Cavan,245
Honours bachelor degree/professional qualification or both,Male,25 years and over,Donegal,755
Honours bachelor degree/professional qualification or both,Male,25 years and over,Monaghan,213
,,,,
,,,,
Honours bachelor degree/professional qualification or both,Female,18 years,State,4846
Honours bachelor degree/professional qualification or both,Female,18 years,Carlow,53
Honours bachelor degree/professional qualification or both,Female,18 years,Dublin City,612
Honours bachelor degree/professional qualification or both,Female,18 years,Dún Laoghaire-Rathdown,351
Honours bachelor degree/professional qualification or both,Female,18 years,Fingal,417
Honours bachelor degree/professional qualification or both,Female,18 years,South Dublin,322
Honours bachelor degree/professional qualification or both,Female,18 years,Kildare,274
Honours bachelor degree/professional qualification or both,Female,18 years,Kilkenny,108
Honours bachelor degree/professional qualification or both,Female,18 years,Laois,74
Honours bachelor degree/professional qualification or both,Female,18 years,Longford,24
Honours bachelor degree/professional qualification or both,Female,18 years,Louth,110
Honours bachelor degree/professional qualification or both,Female,18 years,Meath,239
Honours bachelor degree/professional qualification or both,Female,18 years,Offaly,68
Honours bachelor degree/professional qualification or both,Female,18 years,Westmeath,78
Honours bachelor degree/professional qualification or both,Female,18 years,Wexford,161
Honours bachelor degree/professional qualification or both,Female,18 years,Wicklow,179
Honours bachelor degree/professional qualification or both,Female,18 years,Clare,128
Honours bachelor degree/professional qualification or both,Female,18 years,Cork City,85
Honours bachelor degree/professional qualification or both,Female,18 years,Cork County,359
Honours bachelor degree/professional qualification or both,Female,18 years,Kerry,108
Honours bachelor degree/professional qualification or both,Female,18 years,Limerick City and County,140
Honours bachelor degree/professional qualification or both,Female,18 years,Tipperary,136
Honours bachelor degree/professional qualification or both,Female,18 years,Waterford City and County,108
Honours bachelor degree/professional qualification or both,Female,18 years,Galway City,64
Honours bachelor degree/professional qualification or both,Female,18 years,Galway County,162
Honours bachelor degree/professional qualification or both,Female,18 years,Leitrim,28
Honours bachelor degree/professional qualification or both,Female,18 years,Mayo,116
Honours bachelor degree/professional qualification or both,Female,18 years,Roscommon,54
Honours bachelor degree/professional qualification or both,Female,18 years,Sligo,63
Honours bachelor degree/professional qualification or both,Female,18 years,Cavan,47
Honours bachelor degree/professional qualification or both,Female,18 years,Donegal,127
Honours bachelor degree/professional qualification or both,Female,18 years,Monaghan,51
,,,,
Honours bachelor degree/professional qualification or both,Female,19 years,State,2486
Honours bachelor degree/professional qualification or both,Female,19 years,Carlow,34
Honours bachelor degree/professional qualification or both,Female,19 years,Dublin City,275
Honours bachelor degree/professional qualification or both,Female,19 years,Dún Laoghaire-Rathdown,153
Honours bachelor degree/professional qualification or both,Female,19 years,Fingal,186
Honours bachelor degree/professional qualification or both,Female,19 years,South Dublin,155
Honours bachelor degree/professional qualification or both,Female,19 years,Kildare,146
Honours bachelor degree/professional qualification or both,Female,19 years,Kilkenny,67
Honours bachelor degree/professional qualification or both,Female,19 years,Laois,39
Honours bachelor degree/professional qualification or both,Female,19 years,Longford,10
Honours bachelor degree/professional qualification or both,Female,19 years,Louth,66
Honours bachelor degree/professional qualification or both,Female,19 years,Meath,106
Honours bachelor degree/professional qualification or both,Female,19 years,Offaly,39
Honours bachelor degree/professional qualification or both,Female,19 years,Westmeath,46
Honours bachelor degree/professional qualification or both,Female,19 years,Wexford,79
Honours bachelor degree/professional qualification or both,Female,19 years,Wicklow,105
Honours bachelor degree/professional qualification or both,Female,19 years,Clare,57
Honours bachelor degree/professional qualification or both,Female,19 years,Cork City,44
Honours bachelor degree/professional qualification or both,Female,19 years,Cork County,229
Honours bachelor degree/professional qualification or both,Female,19 years,Kerry,62
Honours bachelor degree/professional qualification or both,Female,19 years,Limerick City and County,75
Honours bachelor degree/professional qualification or both,Female,19 years,Tipperary,90
Honours bachelor degree/professional qualification or both,Female,19 years,Waterford City and County,70
Honours bachelor degree/professional qualification or both,Female,19 years,Galway City,39
Honours bachelor degree/professional qualification or both,Female,19 years,Galway County,87
Honours bachelor degree/professional qualification or both,Female,19 years,Leitrim,11
Honours bachelor degree/professional qualification or both,Female,19 years,Mayo,47
Honours bachelor degree/professional qualification or both,Female,19 years,Roscommon,21
Honours bachelor degree/professional qualification or both,Female,19 years,Sligo,35
Honours bachelor degree/professional qualification or both,Female,19 years,Cavan,27
Honours bachelor degree/professional qualification or both,Female,19 years,Donegal,67
Honours bachelor degree/professional qualification or both,Female,19 years,Monaghan,19
,,,,
Honours bachelor degree/professional qualification or both,Female,20 years,State,8958
Honours bachelor degree/professional qualification or both,Female,20 years,Carlow,87
Honours bachelor degree/professional qualification or both,Female,20 years,Dublin City,1059
Honours bachelor degree/professional qualification or both,Female,20 years,Dún Laoghaire-Rathdown,553
Honours bachelor degree/professional qualification or both,Female,20 years,Fingal,568
Honours bachelor degree/professional qualification or both,Female,20 years,South Dublin,495
Honours bachelor degree/professional qualification or both,Female,20 years,Kildare,545
Honours bachelor degree/professional qualification or both,Female,20 years,Kilkenny,177
Honours bachelor degree/professional qualification or both,Female,20 years,Laois,170
Honours bachelor degree/professional qualification or both,Female,20 years,Longford,69
Honours bachelor degree/professional qualification or both,Female,20 years,Louth,254
Honours bachelor degree/professional qualification or both,Female,20 years,Meath,452
Honours bachelor degree/professional qualification or both,Female,20 years,Offaly,128
Honours bachelor degree/professional qualification or both,Female,20 years,Westmeath,148
Honours bachelor degree/professional qualification or both,Female,20 years,Wexford,284
Honours bachelor degree/professional qualification or both,Female,20 years,Wicklow,223
Honours bachelor degree/professional qualification or both,Female,20 years,Clare,233
Honours bachelor degree/professional qualification or both,Female,20 years,Cork City,165
Honours bachelor degree/professional qualification or both,Female,20 years,Cork County,752
Honours bachelor degree/professional qualification or both,Female,20 years,Kerry,252
Honours bachelor degree/professional qualification or both,Female,20 years,Limerick City and County,303
Honours bachelor degree/professional qualification or both,Female,20 years,Tipperary,298
Honours bachelor degree/professional qualification or both,Female,20 years,Waterford City and County,208
Honours bachelor degree/professional qualification or both,Female,20 years,Galway City,163
Honours bachelor degree/professional qualification or both,Female,20 years,Galway County,361
Honours bachelor degree/professional qualification or both,Female,20 years,Leitrim,50
Honours bachelor degree/professional qualification or both,Female,20 years,Mayo,184
Honours bachelor degree/professional qualification or both,Female,20 years,Roscommon,99
Honours bachelor degree/professional qualification or both,Female,20 years,Sligo,130
Honours bachelor degree/professional qualification or both,Female,20 years,Cavan,160
Honours bachelor degree/professional qualification or both,Female,20 years,Donegal,301
Honours bachelor degree/professional qualification or both,Female,20 years,Monaghan,87
,,,,
Honours bachelor degree/professional qualification or both,Female,21 years,State,31360
Honours bachelor degree/professional qualification or both,Female,21 years,Carlow,308
Honours bachelor degree/professional qualification or both,Female,21 years,Dublin City,4286
Honours bachelor degree/professional qualification or both,Female,21 years,Dún Laoghaire-Rathdown,2091
Honours bachelor degree/professional qualification or both,Female,21 years,Fingal,2004
Honours bachelor degree/professional qualification or both,Female,21 years,South Dublin,1608
Honours bachelor degree/professional qualification or both,Female,21 years,Kildare,1538
Honours bachelor degree/professional qualification or both,Female,21 years,Kilkenny,713
Honours bachelor degree/professional qualification or both,Female,21 years,Laois,472
Honours bachelor degree/professional qualification or both,Female,21 years,Longford,200
Honours bachelor degree/professional qualification or both,Female,21 years,Louth,729
Honours bachelor degree/professional qualification or both,Female,21 years,Meath,1307
Honours bachelor degree/professional qualification or both,Female,21 years,Offaly,416
Honours bachelor degree/professional qualification or both,Female,21 years,Westmeath,536
Honours bachelor degree/professional qualification or both,Female,21 years,Wexford,877
Honours bachelor degree/professional qualification or both,Female,21 years,Wicklow,894
Honours bachelor degree/professional qualification or both,Female,21 years,Clare,815
Honours bachelor degree/professional qualification or both,Female,21 years,Cork City,684
Honours bachelor degree/professional qualification or both,Female,21 years,Cork County,2920
Honours bachelor degree/professional qualification or both,Female,21 years,Kerry,864
Honours bachelor degree/professional qualification or both,Female,21 years,Limerick City and County,1140
Honours bachelor degree/professional qualification or both,Female,21 years,Tipperary,868
Honours bachelor degree/professional qualification or both,Female,21 years,Waterford City and County,717
Honours bachelor degree/professional qualification or both,Female,21 years,Galway City,649
Honours bachelor degree/professional qualification or both,Female,21 years,Galway County,1181
Honours bachelor degree/professional qualification or both,Female,21 years,Leitrim,219
Honours bachelor degree/professional qualification or both,Female,21 years,Mayo,698
Honours bachelor degree/professional qualification or both,Female,21 years,Roscommon,408
Honours bachelor degree/professional qualification or both,Female,21 years,Sligo,424
Honours bachelor degree/professional qualification or both,Female,21 years,Cavan,451
Honours bachelor degree/professional qualification or both,Female,21 years,Donegal,970
Honours bachelor degree/professional qualification or both,Female,21 years,Monaghan,373
,,,,
Honours bachelor degree/professional qualification or both,Female,22 years,State,34190
Honours bachelor degree/professional qualification or both,Female,22 years,Carlow,299
Honours bachelor degree/professional qualification or both,Female,22 years,Dublin City,5207
Honours bachelor degree/professional qualification or both,Female,22 years,Dún Laoghaire-Rathdown,2637
Honours bachelor degree/professional qualification or both,Female,22 years,Fingal,2171
Honours bachelor degree/professional qualification or both,Female,22 years,South Dublin,1859
Honours bachelor degree/professional qualification or both,Female,22 years,Kildare,1604
Honours bachelor degree/professional qualification or both,Female,22 years,Kilkenny,785
Honours bachelor degree/professional qualification or both,Female,22 years,Laois,442
Honours bachelor degree/professional qualification or both,Female,22 years,Longford,206
Honours bachelor degree/professional qualification or both,Female,22 years,Louth,709
Honours bachelor degree/professional qualification or both,Female,22 years,Meath,1144
Honours bachelor degree/professional qualification or both,Female,22 years,Offaly,375
Honours bachelor degree/professional qualification or both,Female,22 years,Westmeath,550
Honours bachelor degree/professional qualification or both,Female,22 years,Wexford,917
Honours bachelor degree/professional qualification or both,Female,22 years,Wicklow,1008
Honours bachelor degree/professional qualification or both,Female,22 years,Clare,756
Honours bachelor degree/professional qualification or both,Female,22 years,Cork City,931
Honours bachelor degree/professional qualification or both,Female,22 years,Cork County,3402
Honours bachelor degree/professional qualification or both,Female,22 years,Kerry,926
Honours bachelor degree/professional qualification or both,Female,22 years,Limerick City and County,1234
Honours bachelor degree/professional qualification or both,Female,22 years,Tipperary,947
Honours bachelor degree/professional qualification or both,Female,22 years,Waterford City and County,785
Honours bachelor degree/professional qualification or both,Female,22 years,Galway City,617
Honours bachelor degree/professional qualification or both,Female,22 years,Galway County,1189
Honours bachelor degree/professional qualification or both,Female,22 years,Leitrim,166
Honours bachelor degree/professional qualification or both,Female,22 years,Mayo,817
Honours bachelor degree/professional qualification or both,Female,22 years,Roscommon,423
Honours bachelor degree/professional qualification or both,Female,22 years,Sligo,457
Honours bachelor degree/professional qualification or both,Female,22 years,Cavan,409
Honours bachelor degree/professional qualification or both,Female,22 years,Donegal,780
Honours bachelor degree/professional qualification or both,Female,22 years,Monaghan,438
,,,,
Honours bachelor degree/professional qualification or both,Female,23 years,State,19827
Honours bachelor degree/professional qualification or both,Female,23 years,Carlow,202
Honours bachelor degree/professional qualification or both,Female,23 years,Dublin City,3252
Honours bachelor degree/professional qualification or both,Female,23 years,Dún Laoghaire-Rathdown,1477
Honours bachelor degree/professional qualification or both,Female,23 years,Fingal,1313
Honours bachelor degree/professional qualification or both,Female,23 years,South Dublin,1061
Honours bachelor degree/professional qualification or both,Female,23 years,Kildare,894
Honours bachelor degree/professional qualification or both,Female,23 years,Kilkenny,448
Honours bachelor degree/professional qualification or both,Female,23 years,Laois,246
Honours bachelor degree/professional qualification or both,Female,23 years,Longford,115
Honours bachelor degree/professional qualification or both,Female,23 years,Louth,387
Honours bachelor degree/professional qualification or both,Female,23 years,Meath,658
Honours bachelor degree/professional qualification or both,Female,23 years,Offaly,194
Honours bachelor degree/professional qualification or both,Female,23 years,Westmeath,288
Honours bachelor degree/professional qualification or both,Female,23 years,Wexford,539
Honours bachelor degree/professional qualification or both,Female,23 years,Wicklow,590
Honours bachelor degree/professional qualification or both,Female,23 years,Clare,409
Honours bachelor degree/professional qualification or both,Female,23 years,Cork City,544
Honours bachelor degree/professional qualification or both,Female,23 years,Cork County,1863
Honours bachelor degree/professional qualification or both,Female,23 years,Kerry,500
Honours bachelor degree/professional qualification or both,Female,23 years,Limerick City and County,666
Honours bachelor degree/professional qualification or both,Female,23 years,Tipperary,520
Honours bachelor degree/professional qualification or both,Female,23 years,Waterford City and County,429
Honours bachelor degree/professional qualification or both,Female,23 years,Galway City,403
Honours bachelor degree/professional qualification or both,Female,23 years,Galway County,722
Honours bachelor degree/professional qualification or both,Female,23 years,Leitrim,108
Honours bachelor degree/professional qualification or both,Female,23 years,Mayo,563
Honours bachelor degree/professional qualification or both,Female,23 years,Roscommon,245
Honours bachelor degree/professional qualification or both,Female,23 years,Sligo,292
Honours bachelor degree/professional qualification or both,Female,23 years,Cavan,211
Honours bachelor degree/professional qualification or both,Female,23 years,Donegal,469
Honours bachelor degree/professional qualification or both,Female,23 years,Monaghan,219
,,,,
Honours bachelor degree/professional qualification or both,Female,24 years,State,11093
Honours bachelor degree/professional qualification or both,Female,24 years,Carlow,107
Honours bachelor degree/professional qualification or both,Female,24 years,Dublin City,1840
Honours bachelor degree/professional qualification or both,Female,24 years,Dún Laoghaire-Rathdown,811
Honours bachelor degree/professional qualification or both,Female,24 years,Fingal,769
Honours bachelor degree/professional qualification or both,Female,24 years,South Dublin,556
Honours bachelor degree/professional qualification or both,Female,24 years,Kildare,487
Honours bachelor degree/professional qualification or both,Female,24 years,Kilkenny,252
Honours bachelor degree/professional qualification or both,Female,24 years,Laois,155
Honours bachelor degree/professional qualification or both,Female,24 years,Longford,71
Honours bachelor degree/professional qualification or both,Female,24 years,Louth,259
Honours bachelor degree/professional qualification or both,Female,24 years,Meath,397
Honours bachelor degree/professional qualification or both,Female,24 years,Offaly,112
Honours bachelor degree/professional qualification or both,Female,24 years,Westmeath,212
Honours bachelor degree/professional qualification or both,Female,24 years,Wexford,266
Honours bachelor degree/professional qualification or both,Female,24 years,Wicklow,359
Honours bachelor degree/professional qualification or both,Female,24 years,Clare,213
Honours bachelor degree/professional qualification or both,Female,24 years,Cork City,274
Honours bachelor degree/professional qualification or both,Female,24 years,Cork County,959
Honours bachelor degree/professional qualification or both,Female,24 years,Kerry,299
Honours bachelor degree/professional qualification or both,Female,24 years,Limerick City and County,347
Honours bachelor degree/professional qualification or both,Female,24 years,Tipperary,272
Honours bachelor degree/professional qualification or both,Female,24 years,Waterford City and County,250
Honours bachelor degree/professional qualification or both,Female,24 years,Galway City,228
Honours bachelor degree/professional qualification or both,Female,24 years,Galway County,421
Honours bachelor degree/professional qualification or both,Female,24 years,Leitrim,56
Honours bachelor degree/professional qualification or both,Female,24 years,Mayo,290
Honours bachelor degree/professional qualification or both,Female,24 years,Roscommon,137
Honours bachelor degree/professional qualification or both,Female,24 years,Sligo,144
Honours bachelor degree/professional qualification or both,Female,24 years,Cavan,125
Honours bachelor degree/professional qualification or both,Female,24 years,Donegal,276
Honours bachelor degree/professional qualification or both,Female,24 years,Monaghan,149
,,,,
Honours bachelor degree/professional qualification or both,Female,25 years and over,State,29695
Honours bachelor degree/professional qualification or both,Female,25 years and over,Carlow,339
Honours bachelor degree/professional qualification or both,Female,25 years and over,Dublin City,4229
Honours bachelor degree/professional qualification or both,Female,25 years and over,Dún Laoghaire-Rathdown,1906
Honours bachelor degree/professional qualification or both,Female,25 years and over,Fingal,1858
Honours bachelor degree/professional qualification or both,Female,25 years and over,South Dublin,1554
Honours bachelor degree/professional qualification or both,Female,25 years and over,Kildare,1301
Honours bachelor degree/professional qualification or both,Female,25 years and over,Kilkenny,682
Honours bachelor degree/professional qualification or both,Female,25 years and over,Laois,429
Honours bachelor degree/professional qualification or both,Female,25 years and over,Longford,186
Honours bachelor degree/professional qualification or both,Female,25 years and over,Louth,751
Honours bachelor degree/professional qualification or both,Female,25 years and over,Meath,1062
Honours bachelor degree/professional qualification or both,Female,25 years and over,Offaly,334
Honours bachelor degree/professional qualification or both,Female,25 years and over,Westmeath,489
Honours bachelor degree/professional qualification or both,Female,25 years and over,Wexford,814
Honours bachelor degree/professional qualification or both,Female,25 years and over,Wicklow,899
Honours bachelor degree/professional qualification or both,Female,25 years and over,Clare,730
Honours bachelor degree/professional qualification or both,Female,25 years and over,Cork City,855
Honours bachelor degree/professional qualification or both,Female,25 years and over,Cork County,2454
Honours bachelor degree/professional qualification or both,Female,25 years and over,Kerry,810
Honours bachelor degree/professional qualification or both,Female,25 years and over,Limerick City and County,1113
Honours bachelor degree/professional qualification or both,Female,25 years and over,Tipperary,827
Honours bachelor degree/professional qualification or both,Female,25 years and over,Waterford City and County,767
Honours bachelor degree/professional qualification or both,Female,25 years and over,Galway City,743
Honours bachelor degree/professional qualification or both,Female,25 years and over,Galway County,1194
Honours bachelor degree/professional qualification or both,Female,25 years and over,Leitrim,202
Honours bachelor degree/professional qualification or both,Female,25 years and over,Mayo,820
Honours bachelor degree/professional qualification or both,Female,25 years and over,Roscommon,365
Honours bachelor degree/professional qualification or both,Female,25 years and over,Sligo,436
Honours bachelor degree/professional qualification or both,Female,25 years and over,Cavan,317
Honours bachelor degree/professional qualification or both,Female,25 years and over,Donegal,929
Honours bachelor degree/professional qualification or both,Female,25 years and over,Monaghan,300
,,,,
,,,,
,,,,
Postgraduate diploma or degree,Male,18 years,State,2801
Postgraduate diploma or degree,Male,18 years,Carlow,22
