Education,Gender,Age,County,Occurrences
No formal education,Female,24 years,Waterford City and County,0
No formal education,Female,24 years,Galway City,0
No formal education,Female,24 years,Galway County,0
No formal education,Female,24 years,Leitrim,0
No formal education,Female,24 years,Mayo,0
No formal education,Female,24 years,Roscommon,0
No formal education,Female,24 years,Sligo,1
No formal education,Female,24 years,Cavan,0
No formal education,Female,24 years,Donegal,0
No formal education,Female,24 years,Monaghan,0
,,,,
No formal education,Female,25 years and over,State,51
No formal education,Female,25 years and over,Carlow,0
No formal education,Female,25 years and over,Dublin City,13
No formal education,Female,25 years and over,Dún Laoghaire-Rathdown,1
No formal education,Female,25 years and over,Fingal,3
No formal education,Female,25 years and over,South Dublin,3
No formal education,Female,25 years and over,Kildare,0
No formal education,Female,25 years and over,Kilkenny,2
No formal education,Female,25 years and over,Laois,0
No formal education,Female,25 years and over,Longford,2
No formal education,Female,25 years and over,Louth,2
No formal education,Female,25 years and over,Meath,2
No formal education,Female,25 years and over,Offaly,0
No formal education,Female,25 years and over,Westmeath,2
No formal education,Female,25 years and over,Wexford,1
No formal education,Female,25 years and over,Wicklow,1
No formal education,Female,25 years and over,Clare,0
No formal education,Female,25 years and over,Cork City,1
No formal education,Female,25 years and over,Cork County,2
No formal education,Female,25 years and over,Kerry,2
No formal education,Female,25 years and over,Limerick City and County,1
No formal education,Female,25 years and over,Tipperary,2
No formal education,Female,25 years and over,Waterford City and County,0
No formal education,Female,25 years and over,Galway City,1
No formal education,Female,25 years and over,Galway County,1
No formal education,Female,25 years and over,Leitrim,1
No formal education,Female,25 years and over,Mayo,2
No formal education,Female,25 years and over,Roscommon,2
No formal education,Female,25 years and over,Sligo,1
No formal education,Female,25 years and over,Cavan,1
No formal education,Female,25 years and over,Donegal,2
No formal education,Female,25 years and over,Monaghan,0
,,,,
,,,,
,,,,
Primary,Male,18 years,State,3437
Primary,Male,18 years,Carlow,50
Primary,Male,18 years,Dublin City,375
Primary,Male,18 years,Dún Laoghaire-Rathdown,90
Primary,Male,18 years,Fingal,152
Primary,Male,18 years,South Dublin,180
Primary,Male,18 years,Kildare,143
Primary,Male,18 years,Kilkenny,87
Primary,Male,18 years,Laois,75
Primary,Male,18 years,Longford,36
Primary,Male,18 years,Louth,100
Primary,Male,18 years,Meath,128
Primary,Male,18 years,Offaly,74
Primary,Male,18 years,Westmeath,78
Primary,Male,18 years,Wexford,118
Primary,Male,18 years,Wicklow,93
Primary,Male,18 years,Clare,81
Primary,Male,18 years,Cork City,81
Primary,Male,18 years,Cork County,268
